,配置效应(AR),选股效应(SR),re_p,re_b,配置收益AR',选择收益SR',超额收益ER',误差
2020-06-30 00:00:00,-0.03580708632083056,0.040488128766103526,0.1208741490643009,0.11619310661902794,-0.052890902994659296,0.05980530422989146,0.006914401235232136,-1.3877787807814457e-17
2020-12-31 00:00:00,0.0348519275941882,0.07279170767020054,0.48818906871848733,0.38054543345409864,0.04179698457225182,0.08729714803454916,0.12909413260680092,-5.551115123125783e-17
2021-06-30 00:00:00,0.03100416360722899,0.03130212529422467,0.13225089758183964,0.06994460868038595,0.05171719753681469,0.05221421927944171,0.10393141681625645,2.7755575615628914e-17
总计,,,,,0.04062327911440721,0.19931667154388233,0.2399399506582895,
