,配置效应(AR),选股效应(SR),re_p,re_b,配置收益AR',选择收益SR',超额收益ER',误差
2020-06-30 00:00:00,0.09790282463928288,0.38787287830052947,0.6019688095588402,0.11619310661902794,0.14461296164963533,0.5729297993318754,0.7175427609815107,-5.551115123125783e-17
2020-12-31 00:00:00,0.16818011101564792,-0.001732398492619355,0.5469931459771272,0.38054543345409864,0.2882637192015495,-0.002969362010797751,0.28529435719075175,2.47198095326695e-17
2021-06-30 00:00:00,0.034560361954040546,0.15414485262105365,0.25864982325548014,0.06994460868038595,0.08564869060495016,0.38200713314412343,0.4676558237490736,0.0
总计,,,,,0.518525371456135,0.9519675704652011,1.470492941921336,
